"","freq","threshold","sd","n/a","subj"
"1","14000",35,1.41421356,NA,"x13"
"2","16000",65,0.81649658,NA,"x13"
"3","14000",36.5,1.60727513,NA,"x13"
"4","16000",63.5,1.5,NA,"x13"
"5","16000",62.16666667,2.11476292,NA,"x13"
"6","14000",34.33333333,0.74535599,NA,"x13"
"7","16000",38,1.41421356,NA,"x15"
"8","14000",32.83333333,0.89752747,NA,"x15"
"9","16000",37,0.81649658,NA,"x15"
"10","14000",33.33333333,1.49071198,NA,"x15"
"11","14000",35.33333333,0.74535599,NA,"x15"
"12","16000",38.83333333,0.89752747,NA,"x15"
"13","14000",32.5,0.5,NA,"x17"
"14","16000",43.33333333,0.74535599,NA,"x17"
"15","14000",31.33333333,1.1055416,NA,"x17"
"16","16000",42.83333333,1.06718737,NA,"x17"
"17","14000",33,2.1602469,NA,"x17"
"18","16000",42.33333333,1.24721913,NA,"x17"
"19","16000",61.83333333,5.45944645,NA,"x24"
"20","14000",41.5,1.70782513,NA,"x24"
"21","14000",41.83333333,1.06718737,NA,"x24"
"22","16000",66.33333333,1.24721913,NA,"x24"
"23","14000",41.66666667,1.24721913,NA,"x24"
"24","16000",65.16666667,0.68718427,NA,"x24"
"25","14000",29.5,0.5,NA,"p01"
"26","16000",38,0.81649658,NA,"p01"
"27","14000",28.66666667,1.37436854,NA,"p01"
"28","16000",38.5,1.25830574,NA,"p01"
"29","14000",30.5,0.5,NA,"p01"
"30","16000",39.5,0.95742711,NA,"p01"
"31","16000",64.33333333,1.24721913,NA,"P02"
"32","14000",34.33333333,1.37436854,NA,"P02"
"33","16000",65.83333333,1.57233019,NA,"P02"
"34","14000",32.5,2.21735578,NA,"P02"
"35","14000",32,0.81649658,NA,"P02"
"36","16000",65.5,2.1408721,NA,"P02"
"37","14000",NA,0,NA,"p03"
"38","16000",41.5,0.95742711,NA,"p05"
"39","14000",27.66666667,1.1055416,NA,"p05"
"40","16000",38.5,1.25830574,NA,"x01"
"41","14000",33.83333333,1.57233019,NA,"x01"
"42","16000",37.83333333,2.54405625,NA,"x01"
"43","14000",35.33333333,0.74535599,NA,"x01"
"44","16000",38,0.81649658,NA,"x01"
"45","14000",32.5,1.5,NA,"x01"
"46","14000",33,0.81649658,NA,"x02"
"47","16000",32.83333333,1.57233019,NA,"x02"
"48","16000",33.5,1.38443731,NA,"x02"
"49","14000",32.33333333,0.74535599,NA,"x02"
"50","16000",34.66666667,1.24721913,NA,"x02"
"51","14000",30.16666667,1.06718737,NA,"x02"
"52","16000",62.66666667,0.74535599,NA,"x03"
"53","14000",36.33333333,0.74535599,NA,"x03"
"54","14000",36.66666667,0.74535599,NA,"x03"
"55","16000",62,0.81649658,NA,"x03"
"56","14000",37.66666667,0.74535599,NA,"x03"
"57","16000",61.16666667,1.06718737,NA,"x03"
"58","14000",32.33333333,0.94280904,NA,"x04"
"59","16000",50.33333333,0.74535599,NA,"x04"
"60","16000",51,1,NA,"x04"
"61","14000",30.83333333,2.11476292,NA,"x04"
"62","16000",51.33333333,0.74535599,NA,"x04"
"63","14000",33.33333333,0.74535599,NA,"x04"
"64","14000",31,0.81649658,NA,"x05"
"65","16000",60.5,1.25830574,NA,"x05"
"66","14000",30.83333333,1.34370962,NA,"x05"
"67","16000",61,1.41421356,NA,"x05"
"68","14000",29.83333333,0.89752747,NA,"x05"
"69","16000",61,1,NA,"x05"
"70","16000",46.33333333,2.13437475,NA,"x06"
"71","14000",31.16666667,0.68718427,NA,"x06"
"72","14000",32.16666667,1.06718737,NA,"x06"
"73","16000",45.16666667,0.68718427,NA,"x06"
"74","16000",43,2,NA,"x06"
"75","14000",31.83333333,0.89752747,NA,"x06"
"76","16000",40.33333333,0.74535599,NA,"x07"
"77","14000",31.16666667,1.06718737,NA,"x07"
"78","14000",33.5,1.11803399,NA,"x07"
"79","16000",41.5,0.5,NA,"x07"
"80","14000",32.83333333,1.06718737,NA,"x07"
"81","16000",42.83333333,0.68718427,NA,"x07"
"82","14000",29.5,0.5,NA,"x08"
"83","16000",37.16666667,1.06718737,NA,"x08"
"84","16000",36.33333333,0.74535599,NA,"x08"
"85","14000",28.66666667,0.74535599,NA,"x08"
"86","14000",30.5,0.95742711,NA,"x08"
"87","16000",35.5,1.25830574,NA,"x08"
"88","16000",39.83333333,1.06718737,NA,"x09"
"89","14000",32.33333333,0.74535599,NA,"x09"
"90","16000",40.5,0.95742711,NA,"x09"
"91","14000",32.5,0.95742711,NA,"x09"
"92","14000",33.83333333,1.06718737,NA,"x09"
"93","16000",39.83333333,1.06718737,NA,"x09"
"94","14000",31.5,0.95742711,NA,"x10"
"95","16000",33.33333333,0.94280904,NA,"x10"
"96","14000",27,1.82574186,NA,"x10"
"97","16000",32.66666667,1.79505494,NA,"x10"
"98","16000",33.83333333,1.06718737,NA,"x10"
"99","14000",31.33333333,1.1055416,NA,"x10"
"100","16000",40.16666667,1.46249406,NA,"x11"
"101","14000",33,1.91485422,NA,"x11"
"102","14000",32.5,0.95742711,NA,"x11"
"103","16000",41.16666667,1.06718737,NA,"x11"
"104","16000",40.16666667,1.34370962,NA,"x11"
"105","14000",30,0.81649658,NA,"x11"
"106","14000",49,1.29099445,NA,"x12"
"107","16000",64.83333333,1.06718737,NA,"x12"
"108","14000",46.33333333,1.1055416,NA,"x12"
"109","16000",65.66666667,1.1055416,NA,"x12"
"110","14000",49.33333333,1.24721913,NA,"x12"
"111","16000",66.5,0.5,NA,"x12"
"112","16000",33.83333333,1.06718737,NA,"x14"
"113","14000",29.33333333,1.49071198,NA,"x14"
"114","14000",31.33333333,0.74535599,NA,"x14"
"115","16000",37.5,0.95742711,NA,"x14"
"116","14000",30.66666667,0.74535599,NA,"x14"
"117","16000",37.5,1.25830574,NA,"x14"
"118","14000",27,1.91485422,NA,"x15"
"119","16000",34.83333333,1.06718737,NA,"x15"
"120","16000",38.66666667,1.59861051,NA,"x15"
"121","14000",30.5,1.5,NA,"x15"
"122","14000",34.16666667,2.54405625,NA,"x15"
"123","16000",37.83333333,1.95078332,NA,"x15"
"124","14000",52.33333333,0.94280904,NA,"x18"
"125","16000",63.83333333,2.26691175,NA,"x18"
"126","16000",NA,0,NA,"x18"
"127","14000",64.66666667,1.37436854,NA,"x18"
"128","14000",57.83333333,0.68718427,NA,"x18"
"129","16000",NA,0,NA,"x18"
"130","14000",37.16666667,1.06718737,NA,"x19"
"131","16000",49.66666667,0.74535599,NA,"x19"
"132","16000",50.5,1.5,NA,"x19"
"133","14000",37.16666667,1.34370962,NA,"x19"
"134","14000",37.5,0.95742711,NA,"x19"
"135","16000",49.83333333,0.89752747,NA,"x19"
"136","16000",42.5,1.70782513,NA,"x20"
"137","14000",31.5,0.95742711,NA,"x20"
"138","16000",45.66666667,1.1055416,NA,"x20"
"139","14000",33.83333333,0.68718427,NA,"x20"
"140","16000",41.83333333,1.06718737,NA,"x20"
"141","14000",31.5,0.5,NA,"x20"
"142","16000",NA,0,NA,"x21"
"143","14000",55.5,1.25830574,NA,"x21"
"144","16000",NA,0,NA,"x21"
"145","14000",53.66666667,1.49071198,NA,"x21"
"146","14000",54.5,0.95742711,NA,"x21"
"147","16000",NA,0,NA,"x21"
"148","14000",33.33333333,1.1055416,NA,"x22"
"149","16000",39.66666667,1.37436854,NA,"x22"
"150","14000",34,1.15470054,NA,"x22"
"151","16000",40.33333333,1.1055416,NA,"x22"
"152","16000",39.83333333,1.34370962,NA,"x22"
"153","14000",34.16666667,1.06718737,NA,"x22"
"154","16000",39.83333333,1.06718737,NA,"x23"
"155","14000",27.83333333,1.21335165,NA,"x23"
"156","14000",27.5,1.70782513,NA,"x23"
"157","16000",44.66666667,0.74535599,NA,"x23"
"158","14000",29.83333333,0.89752747,NA,"x23"
"159","16000",40.33333333,1.49071198,NA,"x23"
"160","14000",35.5,0.95742711,NA,"x26"
"161","16000",57.5,0.95742711,NA,"x26"
"162","16000",58.33333333,1.1055416,NA,"x26"
"163","14000",35.83333333,1.06718737,NA,"x26"
"164","14000",36.16666667,1.57233019,NA,"x26"
"165","16000",57,1.91485422,NA,"x26"
"166","16000",39.83333333,0.68718427,NA,"x27"
"167","14000",33.5,0.5,NA,"x27"
"168","14000",35.66666667,1.24721913,NA,"x27"
"169","16000",38.5,0.5,NA,"x27"
"170","14000",34.83333333,1.34370962,NA,"x27"
"171","16000",38.5,0.95742711,NA,"x27"
"172","16000",63.16666667,1.06718737,NA,"x28"
"173","14000",29.66666667,0.74535599,NA,"x28"
"174","14000",29.5,0.5,NA,"x28"
"175","16000",59.83333333,1.06718737,NA,"x28"
"176","14000",27.33333333,0.74535599,NA,"x28"
"177","16000",60.5,0.95742711,NA,"x28"
"178","14000",35.5,1.38443731,NA,"x29"
"179","16000",38.5,0.5,NA,"x29"
"180","14000",35.16666667,1.06718737,NA,"x29"
"181","16000",37.83333333,1.06718737,NA,"x29"
"182","16000",39.83333333,1.06718737,NA,"x29"
"183","14000",34.66666667,1.49071198,NA,"x29"
"184","14000",53.16666667,1.34370962,NA,"x31"
"185","16000",NA,0,NA,"x31"
"186","14000",49.66666667,0.74535599,NA,"x31"
"187","16000",NA,0,NA,"x31"
"188","16000",NA,0,NA,"x31"
"189","14000",51.83333333,0.89752747,NA,"x31"
"190","14000",31.16666667,1.06718737,NA,"x32"
"191","16000",30.33333333,1.59861051,NA,"x32"
"192","16000",32.66666667,1.24721913,NA,"x32"
"193","14000",27.83333333,0.68718427,NA,"x32"
"194","16000",32.5,1.5,NA,"x32"
"195","14000",30.5,1.97905701,NA,"x32"
"196","16000",63.33333333,1.37436854,NA,"x33"
"197","14000",46.33333333,1.49071198,NA,"x33"
"198","16000",66.33333333,0.74535599,NA,"x33"
"199","14000",48,0.81649658,NA,"x33"
"200","16000",66.83333333,1.06718737,NA,"x33"
"201","14000",44.5,1.70782513,NA,"x33"
"202","14000",30.83333333,1.46249406,NA,"x34"
"203","16000",34,1.29099445,NA,"x34"
"204","14000",31.16666667,1.34370962,NA,"x34"
"205","16000",36,0.81649658,NA,"x34"
"206","14000",30.5,0.5,NA,"x34"
"207","16000",35,0.81649658,NA,"x34"
"208","14000",30.5,1.25830574,NA,"x35"
"209","16000",43.66666667,0.94280904,NA,"x35"
"210","14000",29.5,1.25830574,NA,"x35"
"211","16000",42.5,1.38443731,NA,"x35"
"212","16000",43.16666667,0.68718427,NA,"x35"
"213","14000",29.66666667,1.49071198,NA,"x35"
"214","16000",38,1.29099445,NA,"x36"
"215","14000",34.83333333,1.34370962,NA,"x36"
"216","16000",43,2.23606798,NA,"x36"
"217","14000",34.5,0.5,NA,"x36"
"218","16000",41.33333333,1.1055416,NA,"x36"
"219","14000",34.83333333,1.77169097,NA,"x36"
"220","16000",44.5,0.5,NA,"x37"
"221","14000",32.83333333,1.34370962,NA,"x37"
"222","16000",51.33333333,1.69967317,NA,"x37"
"223","14000",34,1.41421356,NA,"x37"
"224","16000",52.66666667,0.74535599,NA,"x37"
"225","14000",32.83333333,0.89752747,NA,"x37"
"226","16000",37.66666667,1.1055416,NA,"x38"
"227","14000",30.33333333,1.49071198,NA,"x38"
"228","14000",29.33333333,1.37436854,NA,"x38"
"229","16000",40,1,NA,"x38"
"230","14000",30,1.91485422,NA,"x38"
"231","16000",40.5,0.5,NA,"x38"
"232","16000",NA,0,NA,"x39"
"233","14000",64.33333333,1.1055416,NA,"x39"
"234","14000",64.83333333,1.06718737,NA,"x39"
"235","16000",NA,0,NA,"x39"
"236","14000",64.33333333,0.74535599,NA,"x39"
"237","16000",NA,0,NA,"x39"
"238","16000",34.5,0.95742711,NA,"x40"
"239","14000",30.33333333,0.74535599,NA,"x40"
"240","14000",31.83333333,1.06718737,NA,"x40"
"241","16000",34.83333333,1.06718737,NA,"x40"
"242","16000",35.33333333,2.05480467,NA,"x40"
"243","14000",24.66666667,2.05480467,NA,"x40"
"244","14000",30.16666667,1.46249406,NA,"x41"
"245","16000",57.16666667,0.68718427,NA,"x41"
"246","14000",30.33333333,0.74535599,NA,"x41"
"247","16000",57.33333333,1.24721913,NA,"x41"
"248","16000",57.83333333,1.06718737,NA,"x41"
"249","14000",29.83333333,1.77169097,NA,"x41"
"250","14000",35.5,0.95742711,NA,"x43"
"251","16000",54.83333333,1.06718737,NA,"x43"
"252","16000",54.33333333,1.88561808,NA,"x43"
"253","14000",34.16666667,1.06718737,NA,"x43"
"254","16000",55.33333333,1.59861051,NA,"x43"
"255","14000",35.83333333,1.46249406,NA,"x43"
"256","16000",56.83333333,0.68718427,NA,"x44"
"257","14000",31.5,0.5,NA,"x44"
"258","16000",55.83333333,1.95078332,NA,"x44"
"259","14000",29,0.81649658,NA,"x44"
"260","16000",53.66666667,1.24721913,NA,"x44"
"261","14000",29.83333333,1.34370962,NA,"x44"
"262","14000",33.5,1.38443731,NA,"x45"
"263","16000",31.66666667,1.24721913,NA,"x45"
"264","16000",33.5,0.95742711,NA,"x45"
"265","14000",32.66666667,1.1055416,NA,"x45"
"266","14000",33.16666667,1.34370962,NA,"x45"
"267","16000",30.5,1.25830574,NA,"x45"
"268","14000",29.83333333,1.57233019,NA,"x46"
"269","16000",31.66666667,0.74535599,NA,"x46"
"270","16000",31.66666667,1.1055416,NA,"x46"
"271","14000",29.16666667,0.89752747,NA,"x46"
"272","16000",31,1.29099445,NA,"x46"
"273","14000",29.66666667,1.24721913,NA,"x46"
"274","14000",38,0.81649658,NA,"x47"
"275","16000",69.33333333,0.74535599,NA,"x47"
"276","16000",68.66666667,2.13437475,NA,"x47"
"277","14000",44.16666667,1.06718737,NA,"x47"
"278","14000",45.66666667,0.74535599,NA,"x47"
"279","16000",NA,0,NA,"x47"
"280","14000",48.83333333,1.34370962,NA,"x48"
"281","16000",63.83333333,3.13138237,NA,"x48"
"282","14000",47.5,1.25830574,NA,"x48"
"283","16000",58,5.44671155,NA,"x48"
"284","16000",NA,0,NA,"x48"
"285","14000",45.83333333,1.34370962,NA,"x48"
"286","16000",46.66666667,1.1055416,NA,"x49"
"287","14000",32.66666667,1.37436854,NA,"x49"
"288","14000",32.5,0.95742711,NA,"x49"
"289","16000",46.16666667,1.06718737,NA,"x49"
"290","16000",46.83333333,1.57233019,NA,"x49"
"291","14000",32.33333333,0.74535599,NA,"x49"
"292","16000",37.33333333,0.74535599,NA,"x50"
"293","14000",33.5,0.95742711,NA,"x50"
"294","16000",37.33333333,0.74535599,NA,"x50"
"295","14000",31.83333333,0.68718427,NA,"x50"
"296","16000",36.16666667,1.34370962,NA,"x50"
"297","14000",31.16666667,0.89752747,NA,"x50"
"298","14000",33,1.41421356,NA,"x51"
"299","16000",42.66666667,2.2852182,NA,"x51"
"300","14000",35.83333333,1.57233019,NA,"x51"
"301","16000",44.83333333,1.06718737,NA,"x51"
"302","16000",44.5,0.95742711,NA,"x51"
"303","14000",34,0.81649658,NA,"x51"
"304","14000",32.83333333,1.57233019,NA,"x52"
"305","16000",35.83333333,1.86338998,NA,"x52"
"306","16000",36.33333333,0.74535599,NA,"x52"
"307","14000",34.66666667,1.49071198,NA,"x52"
"308","16000",34.66666667,0.74535599,NA,"x52"
"309","14000",35.16666667,1.57233019,NA,"x52"
"310","16000",34.5,0.5,NA,"x53"
"311","14000",34.83333333,0.68718427,NA,"x53"
"312","14000",35.5,0.95742711,NA,"x53"
"313","16000",35.5,1.25830574,NA,"x53"
"314","16000",36,0.81649658,NA,"x53"
"315","14000",35.5,0.95742711,NA,"x53"
"316","16000",37.66666667,1.79505494,NA,"x54"
"317","14000",32.5,1.70782513,NA,"x54"
"318","16000",39.5,0.95742711,NA,"x54"
"319","14000",29.83333333,2.11476292,NA,"x54"
"320","14000",30.83333333,1.06718737,NA,"x54"
"321","16000",38.83333333,1.06718737,NA,"x54"
"322","14000",57.83333333,1.06718737,NA,"x55"
"323","16000",62.66666667,4.95535625,NA,"x55"
"324","16000",NA,0,NA,"x55"
"325","14000",59.16666667,1.06718737,NA,"x55"
"326","16000",NA,0,NA,"x55"
"327","14000",56.66666667,1.49071198,NA,"x55"
